127.0.0.1 - - [06/Mar/2023:08:35:24 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:35:25 +0700] "GET /MVC/ HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:36:01 +0700] "GET /MVC/ HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:36:02 +0700] "GET /MVC/ HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:36:11 +0700] "GET /MVC/ HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:36:11 +0700] "GET /MVC/resources/public/dangnhapimg.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:37:39 +0700] "GET /MVC/ HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:39:35 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:39:35 +0700] "GET /MVC/resources/styles/dangnhap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:39:35 +0700] "GET /MVC/resources/public/background.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:03 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:04 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:04 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:04 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:05 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:05 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:05 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:05 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:05 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:06 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:06 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:08:41:06 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:07:15 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:07:23 +0700] "GET /MVC/dangnhap HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:07:29 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:07:29 +0700] "GET /MVC/resources/styles/dangky.css HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:08:49 +0700] "GET /MVC/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:08:57 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:08:58 +0700] "GET /MVC/resources/styles/dangky.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:11:34 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:11:34 +0700] "GET /MVC/resources/styles/dangky.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:11:39 +0700] "GET /MVC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:11:39 +0700] "GET /MVC/ HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:11:41 +0700] "GET /MVC/WEB-INF/client/dangky.jsp HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:11:57 +0700] "GET /MVC/WEB-INF/client/dangky.jsp HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:12:05 +0700] "GET /MVC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:12:05 +0700] "GET /MVC/ HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:12:07 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:08 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:09 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:09 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:13 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:33 +0700] "GET /MVC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:33 +0700] "GET /MVC/ HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:36 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:14:59 +0700] "GET /MVC/WEB-INF/client/dangky HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:15:04 +0700] "GET /MVC/ HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:15:05 +0700] "GET /dangky HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:15:54 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:15:54 +0700] "GET /MVC/resources/styles/dangky.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:16:18 +0700] "GET /MVC/ HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:16:21 +0700] "GET /dangky HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:18:02 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:18:04 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:18:04 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:18:13 +0700] "GET /MVC/dangnhap HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:18:15 +0700] "GET /dangky HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:18:18 +0700] "GET /dangky HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:19:31 +0700] "GET /dangky HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:19:40 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:19:40 +0700] "GET /MVC/resources/styles/dangky.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:19:45 +0700] "GET /MVC/dangnhap HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:20:09 +0700] "GET /MVC/dangnhap HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:20:10 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:20:15 +0700] "GET /MVC/dangky HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:21:02 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:21:08 +0700] "GET /MVC/dangnhap HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:21:32 +0700] "GET /MVC/dangnhap HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:21:34 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:21:43 +0700] "GET /MVC/ HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:21:43 +0700] "GET /MVC/resources/styles/dangky.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:22:40 +0700] "GET /MVC/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:22:50 +0700] "GET /MVC/dang-nhap HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:22:51 +0700] "GET /MV/dangky HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:24:06 +0700] "GET /MV/ HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [06/Mar/2023:09:24:11 +0700] "GET /MVC/ HTTP/1.1" 200 2081
